split_id,n_estimators,num_leaves,learning_rate,colsample_bytree,subsample,best_iteration,val_auroc,val_auprc
1,5000,8,0.05,0.33,0.33,103,0.9296320926934962,0.4561405589185826
1,5000,8,0.05,0.33,0.66,130,0.9322630779328155,0.48004411828153326
1,5000,8,0.05,0.66,0.33,79,0.9304204080717364,0.47443896200076024
1,5000,8,0.05,0.66,0.66,76,0.9293267518233128,0.47771465806183183
1,5000,16,0.05,0.33,0.33,64,0.9236487984825005,0.4749093836394412
1,5000,16,0.05,0.33,0.66,54,0.9230816965707187,0.4784579751229368
1,5000,16,0.05,0.66,0.33,91,0.9222400934517007,0.4720423377404768
1,5000,16,0.05,0.66,0.66,92,0.9365616380261317,0.4931618984312796
1,5000,32,0.05,0.33,0.33,91,0.9288667190157409,0.48085326258013544
1,5000,32,0.05,0.33,0.66,24,0.9136471808105464,0.4796834139328698
1,5000,32,0.05,0.66,0.33,86,0.9262978362074474,0.48499508204323133
1,5000,32,0.05,0.66,0.66,58,0.9274304651396866,0.5001903762089872
1,5000,64,0.05,0.33,0.33,91,0.9288804934383681,0.4809288150000247
1,5000,64,0.05,0.33,0.66,31,0.915324463576736,0.48345026711452693
1,5000,64,0.05,0.66,0.33,86,0.92629224181737,0.4849943571293205
1,5000,64,0.05,0.66,0.66,61,0.9292847703918927,0.49799207015280317
1,5000,128,0.05,0.33,0.33,91,0.9288804934383681,0.4809288150000247
1,5000,128,0.05,0.33,0.66,31,0.915324463576736,0.48345026711452693
1,5000,128,0.05,0.66,0.33,86,0.92629224181737,0.4849943571293205
1,5000,128,0.05,0.66,0.66,61,0.9292850524619806,0.4979921302965095
