split_id,n_estimators,num_leaves,learning_rate,colsample_bytree,subsample,best_iteration,val_auroc,val_auprc
4,5000,8,0.05,0.33,0.33,87,0.9448833443041927,0.3582522392123621
4,5000,8,0.05,0.33,0.66,99,0.9473054416444511,0.3526927013644697
4,5000,8,0.05,0.66,0.33,97,0.9451014391539851,0.34753624528257104
4,5000,8,0.05,0.66,0.66,94,0.9470180941425314,0.36189660250767186
4,5000,16,0.05,0.33,0.33,70,0.9460750793050542,0.3506269910976591
4,5000,16,0.05,0.33,0.66,45,0.9453456255921895,0.36009747169814604
4,5000,16,0.05,0.66,0.33,98,0.946901078695631,0.36137773770671344
4,5000,16,0.05,0.66,0.66,175,0.947504857546501,0.41085411340058026
4,5000,32,0.05,0.33,0.33,147,0.9469359203736405,0.37196539283817426
4,5000,32,0.05,0.33,0.66,101,0.9482347419632581,0.38060998064462703
4,5000,32,0.05,0.66,0.33,24,0.9422304803522632,0.35104582084005115
4,5000,32,0.05,0.66,0.66,109,0.9464227026832445,0.38868356510176366
4,5000,64,0.05,0.33,0.33,91,0.9466833918811045,0.36284987388419077
4,5000,64,0.05,0.33,0.66,72,0.9478129241724943,0.372045636756682
4,5000,64,0.05,0.66,0.33,24,0.9422304803522632,0.35104582084005115
4,5000,64,0.05,0.66,0.66,132,0.9447557879462483,0.3822472002057339
4,5000,128,0.05,0.33,0.33,91,0.9466833918811045,0.36284987388419077
4,5000,128,0.05,0.33,0.66,106,0.9472310205456185,0.37573281732799824
4,5000,128,0.05,0.66,0.33,24,0.9422304803522632,0.35104582084005115
4,5000,128,0.05,0.66,0.66,132,0.9447557879462484,0.382246398623613
