split_id,n_estimators,num_leaves,learning_rate,colsample_bytree,subsample,best_iteration,val_auroc,val_auprc
2,5000,8,0.05,0.33,0.33,67,0.9535265718551895,0.46699319681032214
2,5000,8,0.05,0.33,0.66,144,0.9541290213105809,0.4865412194471034
2,5000,8,0.05,0.66,0.33,50,0.9561005094796811,0.4661147657012983
2,5000,8,0.05,0.66,0.66,128,0.9594752760812234,0.4926659691010772
2,5000,16,0.05,0.33,0.33,57,0.9545376290383616,0.4870035590151625
2,5000,16,0.05,0.33,0.66,97,0.9571007722133728,0.4865996160301319
2,5000,16,0.05,0.66,0.33,133,0.9599639139949603,0.4883976675405318
2,5000,16,0.05,0.66,0.66,117,0.9587668989283838,0.4857774947178838
2,5000,32,0.05,0.33,0.33,119,0.9533829208799397,0.4893679139754837
2,5000,32,0.05,0.33,0.66,136,0.9535666327844712,0.5174891641163606
2,5000,32,0.05,0.66,0.33,53,0.9584325689304667,0.46578911489945496
2,5000,32,0.05,0.66,0.66,117,0.9589879215839854,0.5087016203356772
2,5000,64,0.05,0.33,0.33,206,0.9523648049060246,0.498705533306161
2,5000,64,0.05,0.33,0.66,82,0.9559484246245823,0.5145621503733752
2,5000,64,0.05,0.66,0.33,53,0.9584322022400384,0.4657854018930234
2,5000,64,0.05,0.66,0.66,62,0.9584869537046001,0.4993911471417151
2,5000,128,0.05,0.33,0.33,206,0.9523648049060246,0.498705533306161
2,5000,128,0.05,0.33,0.66,82,0.9559485621334929,0.5145622029030974
2,5000,128,0.05,0.66,0.33,53,0.9584322022400384,0.4657854018930234
2,5000,128,0.05,0.66,0.66,62,0.9584868620319931,0.4993911331175632
