split_id,n_estimators,num_leaves,learning_rate,colsample_bytree,subsample,best_iteration,val_auroc,val_auprc
3,5000,8,0.05,0.33,0.33,46,0.957128904077813,0.5621146021254944
3,5000,8,0.05,0.33,0.66,78,0.9588328122070651,0.5595427509738876
3,5000,8,0.05,0.66,0.33,107,0.9601601351115179,0.5752769600468352
3,5000,8,0.05,0.66,0.66,115,0.958990818327121,0.5725645045040612
3,5000,16,0.05,0.33,0.33,79,0.9598383038928768,0.5735287238743032
3,5000,16,0.05,0.33,0.66,68,0.9590947854008383,0.5867228853071825
3,5000,16,0.05,0.66,0.33,54,0.9585310197233582,0.5523027539490195
3,5000,16,0.05,0.66,0.66,61,0.9596034991722355,0.5778984032590302
3,5000,32,0.05,0.33,0.33,82,0.960081847011309,0.5683922432524051
3,5000,32,0.05,0.33,0.66,82,0.960156242552502,0.5936854971847192
3,5000,32,0.05,0.66,0.33,75,0.9607743451762455,0.5673477123043197
3,5000,32,0.05,0.66,0.66,41,0.9588784703355228,0.6012609786504526
3,5000,64,0.05,0.33,0.33,82,0.9601536210331646,0.5719017614584995
3,5000,64,0.05,0.33,0.66,57,0.9589137416866061,0.5851117353070752
3,5000,64,0.05,0.66,0.33,75,0.960889612587106,0.5643165000315759
3,5000,64,0.05,0.66,0.66,35,0.9569683360184046,0.5959858244830663
3,5000,128,0.05,0.33,0.33,82,0.9601536210331646,0.5719017614584995
3,5000,128,0.05,0.33,0.66,57,0.9589137416866061,0.5851117353070753
3,5000,128,0.05,0.66,0.33,75,0.960889612587106,0.5643165000315759
3,5000,128,0.05,0.66,0.66,35,0.9569685743383444,0.5959858396015614
